,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,air_quality_index,pollution_level,weekday,season
39,40,2013,3,2,15,37,40,24,55,700,44,3.9,1024.1,-16.5,0,NW,1,Aotizhongxin,44,Good,Weekday,Spring
40,41,2013,3,2,16,37,46,29,63,1000,38,3.5,1023.6,-15.2,0,SW,2,Aotizhongxin,46,Good,Weekday,Spring
41,42,2013,3,2,17,44,58,45,77,1200,30,2.2,1023.4,-13.6,0,SE,0,Aotizhongxin,52.25,Moderate,Weekday,Spring
42,43,2013,3,2,18,54,79,50,80,1100,24,1.2,1023.2,-12.3,0,W,0,Aotizhongxin,59.25,Moderate,Weekday,Spring
43,44,2013,3,2,19,61,86,50,97,1300,10,1.5,1022.9,-13.8,0,NE,1,Aotizhongxin,63.5,Moderate,Weekday,Spring
44,45,2013,3,2,20,67,96,54,108,1399,2,1.2,1022.9,-14.1,0,NE,1,Aotizhongxin,68.25,Moderate,Weekday,Spring
45,46,2013,3,2,21,74,103,72,107,1399,2,0.6,1022.6,-14.2,0,NE,1,Aotizhongxin,71.5,Moderate,Weekday,Spring
46,47,2013,3,2,22,81,113,84,110,1500,3,-0.6,1022.3,-13.9,0,NE,1,Aotizhongxin,76.75,Moderate,Weekday,Spring
47,48,2013,3,2,23,93,120,87,107,1700,2,-0.8,1021.1,-13.4,0,N,1,Aotizhongxin,80.5,Moderate,Weekday,Spring
48,49,2013,3,3,0,112,130,73,100,1899,2,-1.4,1020.4,-13,0,NE,1,Aotizhongxin,86,Moderate,Weekday,Spring
49,50,2013,3,3,1,109,132,80,101,2200,2,-2,1019.4,-13.2,0,NE,1,Aotizhongxin,86,Moderate,Weekday,Spring
50,51,2013,3,3,2,110,132,98,99,2399,2,-2.8,1018.3,-12.3,0,NE,1,Aotizhongxin,85.75,Moderate,Weekday,Spring
51,52,2013,3,3,3,105,129,88,100,2500,2,-2.6,1017.2,-13.2,0,NE,1,Aotizhongxin,84,Moderate,Weekday,Spring
52,53,2013,3,3,4,106,136,79,92,2799,2,-4.3,1016.9,-11.8,0,NE,0,Aotizhongxin,84,Moderate,Weekday,Spring
53,54,2013,3,3,5,101,135,64,87,2399,2,-5.6,1016.3,-10.9,0,N,0,Aotizhongxin,81.25,Moderate,Weekday,Spring
54,55,2013,3,3,6,91,142,67,87,2100,2,-5.8,1016.2,-11,0,NE,0,Aotizhongxin,80.5,Moderate,Weekday,Spring
55,56,2013,3,3,7,79,116,83,91,2000,2,-3.1,1016.5,-11.1,0,NE,1,Aotizhongxin,72,Moderate,Weekday,Spring
56,57,2013,3,3,8,77,110,123,90,2299,2,0.7,1016.2,-13,0,NE,2,Aotizhongxin,69.75,Moderate,Weekday,Spring
57,58,2013,3,3,9,83,119,135,90,2600,3,3.5,1015.8,-13.8,0,NE,0,Aotizhongxin,73.75,Moderate,Weekday,Spring
58,59,2013,3,3,10,94,122,116,90,1800,9,6.5,1014.9,-13.2,0,N,1,Aotizhongxin,78.75,Moderate,Weekday,Spring
59,60,2013,3,3,11,96,117,89,93,1600,14,11.4,1013.8,-10.8,0,SE,0,Aotizhongxin,80,Moderate,Weekday,Spring
60,61,2013,3,3,12,91,108,77,99,1600,14,13.8,1012.5,-13.3,0,W,1,Aotizhongxin,78,Moderate,Weekday,Spring
61,62,2013,3,3,13,98,134,50,81,1200,33,16,1011.5,-13.5,0,W,5,Aotizhongxin,86.5,Moderate,Weekday,Spring
62,63,2013,3,3,14,72,106,31,57,900,51,16.7,1010.8,-14,0,NW,4,Aotizhongxin,71.5,Moderate,Weekday,Spring
63,64,2013,3,3,15,48,114,14,17,500,77,16.9,1010.5,-12.7,0,NW,2,Aotizhongxin,64,Moderate,Weekday,Spring
64,65,2013,3,3,16,28,100,12,17,400,77,16.4,1010.6,-15.4,0,NW,2,Aotizhongxin,55.5,Moderate,Weekday,Spring
65,66,2013,3,3,17,26,103,9,19,400,73,13.1,1011.1,-10.1,0,SW,1,Aotizhongxin,55.25,Moderate,Weekday,Spring
66,67,2013,3,3,18,24,82,8,27,500,66,8.7,1012.3,-11.3,0,NW,1,Aotizhongxin,49.75,Good,Weekday,Spring
67,68,2013,3,3,19,19,71,26,98,1300,11,12.2,1013.4,-13.7,0,NW,2,Aotizhongxin,49.75,Good,Weekday,Spring
68,69,2013,3,3,20,60,175,64,135,2000,4,11.7,1013.5,-12.6,0,N,0,Aotizhongxin,93.5,Moderate,Weekday,Spring
69,70,2013,3,3,21,117,181,28,100,1100,5,5.3,1013.6,-10.9,0,N,0,Aotizhongxin,100.75,Unhealthy,Weekday,Spring
70,71,2013,3,3,22,54,105,28,90,1200,2,3.1,1014.1,-10.2,0,NE,1,Aotizhongxin,62.75,Moderate,Weekday,Spring
71,72,2013,3,3,23,46,94,29,84,1200,2,5.2,1014.8,-10.6,0,NW,1,Aotizhongxin,56.5,Moderate,Weekday,Spring
72,73,2013,3,4,0,42,83,51,86,1300,4,7.7,1015.7,-11.1,0,N,2,Aotizhongxin,53.75,Moderate,Weekday,Spring
73,74,2013,3,4,1,49,80,39,64,1000,25,8.2,1016.7,-11.7,0,N,2,Aotizhongxin,54.5,Moderate,Weekday,Spring
74,75,2013,3,4,2,34,62,9,14,300,68,8.1,1016.7,-11.8,0,N,4,Aotizhongxin,44.5,Good,Weekday,Spring
75,76,2013,3,4,3,12,34,6,12,900,77,7.2,1016.9,-11.6,0,N,2,Aotizhongxin,33.75,Good,Weekday,Spring
76,77,2013,3,4,4,7,18,14,59,400,42,6,1018,-11.6,0,NW,1,Aotizhongxin,31.5,Good,Weekday,Spring
77,78,2013,3,4,5,10,24,18,45,400,40,2.7,1018.6,-10.9,0,SE,0,Aotizhongxin,29.75,Good,Weekday,Spring
78,79,2013,3,4,6,13,32,24,65,500,22,3.8,1018.9,-11.4,0,N,2,Aotizhongxin,33,Good,Weekday,Spring
79,80,2013,3,4,7,14,36,30,70,600,17,6.5,1019.7,-10.7,0,N,2,Aotizhongxin,34.25,Good,Weekday,Spring
80,81,2013,3,4,8,13,35,38,70,700,21,9,1020.7,-12.2,0,NE,3,Aotizhongxin,34.75,Good,Weekday,Spring
81,82,2013,3,4,9,15,32,26,36,500,52,10.6,1020.8,-12.1,0,NE,1,Aotizhongxin,33.75,Good,Weekday,Spring
82,83,2013,3,4,10,16,24,22,36,600,57,11.9,1020.4,-12.4,0,NE,2,Aotizhongxin,33.25,Good,Weekday,Spring
83,84,2013,3,4,11,18,33,18,27,400,68,13.1,1020,-13,0,NE,3,Aotizhongxin,36.5,Good,Weekday,Spring
84,85,2013,3,4,12,13,28,12,14,400,77,14.2,1018.9,-13.9,0,N,2,Aotizhongxin,33,Good,Weekday,Spring
85,86,2013,3,4,13,3,12,7,12,300,82,15.3,1017.8,-13,0,S,2,Aotizhongxin,27.25,Good,Weekday,Spring
86,87,2013,3,4,14,3,10,8,13,400,84,15.2,1017,-13.1,0,SW,0,Aotizhongxin,27.5,Good,Weekday,Spring
87,88,2013,3,4,15,10,13,9,15,400,84,15.3,1016.3,-13,0,SW,2,Aotizhongxin,30.5,Good,Weekday,Spring
88,89,2013,3,4,16,14,20,10,34,500,70,14.5,1015.7,-13.7,0,S,2,Aotizhongxin,34.5,Good,Weekday,Spring
89,90,2013,3,4,17,20,33,14,40,500,78,12.7,1015.9,-11.8,0,SW,2,Aotizhongxin,42.75,Good,Weekday,Spring
90,91,2013,3,4,18,25,44,13,43,600,75,11.6,1016.5,-11.3,0,SW,3,Aotizhongxin,46.75,Good,Weekday,Spring
91,92,2013,3,4,19,31,63,17,61,700,53,10.9,1016.6,-10.6,0,SW,3,Aotizhongxin,52,Moderate,Weekday,Spring
92,93,2013,3,4,20,34,84,18,76,800,40,9.9,1016.9,-10.3,0,SW,3,Aotizhongxin,58.5,Moderate,Weekday,Spring
93,94,2013,3,4,21,40,85,40,76,800,39,8.4,1016.9,-10,0,SW,2,Aotizhongxin,60,Moderate,Weekday,Spring
94,95,2013,3,4,22,51,91,46,85,1000,31,8.6,1016.3,-9.9,0,SW,2,Aotizhongxin,64.5,Moderate,Weekday,Spring
95,96,2013,3,4,23,58,94,46,86,1100,84,7.7,1015.7,-9.3,0,SW,2,Aotizhongxin,80.5,Moderate,Weekday,Spring
96,97,2013,3,5,0,71,108,66,78,1100,84,4.7,1015.2,-9.1,0,SW,1,Aotizhongxin,85.25,Moderate,Weekday,Spring
97,98,2013,3,5,1,91,127,75,75,1200,84,1.1,1014.7,-7.9,0,SW,0,Aotizhongxin,94.25,Moderate,Weekday,Spring
98,99,2013,3,5,2,100,129,58,79,1200,84,-0.6,1014.4,-8.1,0,S,0,Aotizhongxin,98,Moderate,Weekday,Spring
99,100,2013,3,5,3,103,130,66,83,1399,84,0.2,1014,-8.8,0,NE,1,Aotizhongxin,100,Moderate,Weekday,Spring
100,101,2013,3,5,4,115,151,76,92,2299,84,1.8,1013.7,-9.5,0,NE,1,Aotizhongxin,110.5,Unhealthy,Weekday,Spring
101,102,2013,3,5,5,117,153,91,91,2399,84,0.6,1013.9,-9.4,0,N,0,Aotizhongxin,111.25,Unhealthy,Weekday,Spring
102,103,2013,3,5,6,104,145,94,89,2200,84,-0.2,1013.4,-8.6,0,NE,1,Aotizhongxin,105.5,Unhealthy,Weekday,Spring
103,104,2013,3,5,7,106,146,82,87,2299,84,2.9,1013.4,-9.1,0,NE,1,Aotizhongxin,105.75,Unhealthy,Weekday,Spring
104,105,2013,3,5,8,111,147,101,87,2399,84,5.1,1013.4,-9.1,0,NE,1,Aotizhongxin,107.25,Unhealthy,Weekday,Spring
105,106,2013,3,5,9,114,159,114,92,2899,84,7.7,1012.8,-8.4,0,NE,1,Aotizhongxin,112.25,Unhealthy,Weekday,Spring
106,107,2013,3,5,10,131,177,107,104,2700,84,9.4,1012,-8.2,0,NE,1,Aotizhongxin,124,Unhealthy,Weekday,Spring
107,108,2013,3,5,11,138,184,109,115,2299,84,10.6,1011.1,-8.1,0,NE,1,Aotizhongxin,130.25,Unhealthy,Weekday,Spring
108,109,2013,3,5,12,142,184,104,136,2299,15,11.9,1009.7,-7.5,0,NW,1,Aotizhongxin,119.25,Unhealthy,Weekday,Spring
109,110,2013,3,5,13,163,193,94,147,2200,84,12.6,1008.5,-8,0,N,1,Aotizhongxin,146.75,Unhealthy,Weekday,Spring
110,111,2013,3,5,14,168,182,85,158,2100,84,13.5,1007.7,-7.8,0,NE,1,Aotizhongxin,148,Unhealthy,Weekday,Spring
111,112,2013,3,5,15,165,171,85,172,2200,78,13.8,1007.2,-7.6,0,NE,1,Aotizhongxin,146.5,Unhealthy,Weekday,Spring
112,113,2013,3,5,16,166,186,97,194,2700,78,13.2,1007.1,-7,0,NE,2,Aotizhongxin,156,Unhealthy,Weekday,Spring
113,114,2013,3,5,17,190,218,101,204,2799,75,12.1,1007.7,-6.4,0,NE,1,Aotizhongxin,171.75,Unhealthy,Weekday,Spring
114,115,2013,3,5,18,203,248,107,197,2500,53,9,1008.2,-5.7,0,NE,1,Aotizhongxin,175.25,Unhealthy,Weekday,Spring
115,116,2013,3,5,19,210,255,103,188,2200,40,5.3,1008.5,-4.8,0,SE,0,Aotizhongxin,173.25,Unhealthy,Weekday,Spring
116,117,2013,3,5,20,205,244,106,189,2500,39,3.3,1008.7,-4.7,0,N,0,Aotizhongxin,169.25,Unhealthy,Weekday,Spring
117,118,2013,3,5,21,215,252,93,178,3100,31,2.9,1009,-4.6,0,NE,1,Aotizhongxin,169,Unhealthy,Weekday,Spring
118,119,2013,3,5,22,219,253,92,169,3200,29,5.2,1008.9,-6.1,0,NE,1,Aotizhongxin,167.5,Unhealthy,Weekday,Spring
119,120,2013,3,5,23,226,269,147,184,4400,29,4.9,1008.4,-6.1,0,NE,1,Aotizhongxin,177,Unhealthy,Weekday,Spring
120,121,2013,3,6,0,284,315,133,174,4000,28,4.9,1008.5,-6.4,0,NE,1,Aotizhongxin,200.25,Unhealthy,Weekend,Spring
121,122,2013,3,6,1,272,300,131,166,4000,22,4.8,1008.3,-5.9,0,NE,1,Aotizhongxin,190,Unhealthy,Weekend,Spring
122,123,2013,3,6,2,242,265,109,146,3200,22,4.1,1007.8,-5.9,0,NE,1,Aotizhongxin,168.75,Unhealthy,Weekend,Spring
123,124,2013,3,6,3,212,229,90,141,2600,22,4,1007.6,-6.3,0,NE,1,Aotizhongxin,151,Unhealthy,Weekend,Spring
124,125,2013,3,6,4,192,203,83,140,900,22,3.9,1007.3,-6.1,0,NE,1,Aotizhongxin,139.25,Unhealthy,Weekend,Spring
125,126,2013,3,6,5,188,194,92,143,2500,22,4.1,1007.8,-5.7,0,NE,1,Aotizhongxin,136.75,Unhealthy,Weekend,Spring
126,127,2013,3,6,6,186,194,94,131,2600,22,4.5,1008.4,-5.3,0,NE,2,Aotizhongxin,133.25,Unhealthy,Weekend,Spring
127,128,2013,3,6,7,188,196,92,129,2700,22,5.7,1009.3,-5,0,NE,1,Aotizhongxin,133.75,Unhealthy,Weekend,Spring
128,129,2013,3,6,8,194,205,102,113,2500,22,6.6,1009.3,-4.8,0,NE,1,Aotizhongxin,133.5,Unhealthy,Weekend,Spring
129,130,2013,3,6,9,184,198,98,102,2399,22,7.5,1009.1,-4.6,0,NE,1,Aotizhongxin,126.5,Unhealthy,Weekend,Spring
130,131,2013,3,6,10,175,198,107,103,2600,22,8.7,1008.6,-4.5,0,NE,1,Aotizhongxin,124.5,Unhealthy,Weekend,Spring
131,132,2013,3,6,11,179,212,119,105,2399,22,10.1,1007.7,-4.7,0,NE,1,Aotizhongxin,129.5,Unhealthy,Weekend,Spring
132,133,2013,3,6,12,192,219,124,113,2299,22,11.1,1006.9,-4.2,0,NE,0,Aotizhongxin,136.5,Unhealthy,Weekend,Spring
133,134,2013,3,6,13,201,233,126,136,2700,22,12.6,1005.8,-3.7,0,SW,1,Aotizhongxin,148,Unhealthy,Weekend,Spring
134,135,2013,3,6,14,230,265,130,146,2799,14,14.5,1005.5,-3.3,0,SE,1,Aotizhongxin,163.75,Unhealthy,Weekend,Spring
135,136,2013,3,6,15,246,277,140,157,2899,10,14.7,1005.5,-3.2,0,SW,2,Aotizhongxin,172.5,Unhealthy,Weekend,Spring
136,137,2013,3,6,16,248,285,154,146,2799,17,14.2,1005.5,-3.2,0,S,1,Aotizhongxin,174,Unhealthy,Weekend,Spring
137,138,2013,3,6,17,230,276,145,171,3200,17,11.6,1005.9,-3.4,0,SW,1,Aotizhongxin,173.5,Unhealthy,Weekend,Spring
138,139,2013,3,6,18,239,291,142,177,3500,17,6.8,1006.8,-2.9,0,SW,0,Aotizhongxin,181,Unhealthy,Weekend,Spring
139,140,2013,3,6,19,242,338,124,164,3700,17,5.1,1007.6,-2.5,0,SW,1,Aotizhongxin,190.25,Unhealthy,Weekend,Spring
140,141,2013,3,6,20,254,396,107,154,4200,17,4.4,1008.2,-2.5,0,SW,1,Aotizhongxin,205.25,Unhealthy,Weekend,Spring
141,142,2013,3,6,21,266,380,117,159,3799,17,3.8,1007.7,-2.2,0,SW,1,Aotizhongxin,205.5,Unhealthy,Weekend,Spring
142,143,2013,3,6,22,254,335,111,148,4099,17,2.4,1007.3,-2.5,0,SW,1,Aotizhongxin,188.5,Unhealthy,Weekend,Spring
143,144,2013,3,6,23,260,360,119,145,4000,17,2.3,1007.2,-2.4,0,NE,1,Aotizhongxin,195.5,Unhealthy,Weekend,Spring
144,145,2013,3,7,0,250,319,102,139,4000,17,1.5,1007.1,-2.6,0,NE,0,Aotizhongxin,181.25,Unhealthy,Weekend,Spring
145,146,2013,3,7,1,240,297,91,127,4000,17,0.7,1007.1,-2.7,0,SE,1,Aotizhongxin,170.25,Unhealthy,Weekend,Spring
146,147,2013,3,7,2,238,294,83,133,4000,17,1.5,1006.9,-2.5,0,NE,0,Aotizhongxin,170.5,Unhealthy,Weekend,Spring
147,148,2013,3,7,3,243,293,86,121,4099,17,0.3,1006.5,-2.7,0,NW,1,Aotizhongxin,168.5,Unhealthy,Weekend,Spring
148,149,2013,3,7,4,246,304,57,113,5000,17,-0.9,1006.4,-3.3,0,N,0,Aotizhongxin,170,Unhealthy,Weekend,Spring
149,150,2013,3,7,5,275,337,46,103,5599,17,1.6,1006.7,-1.5,0,NE,1,Aotizhongxin,183,Unhealthy,Weekend,Spring
150,151,2013,3,7,6,306,366,41,114,5700,17,0.3,1006.6,-2.7,0,SW,0,Aotizhongxin,200.75,Unhealthy,Weekend,Spring
151,152,2013,3,7,7,320,374,46,124,4599,17,2.4,1006.8,-1.4,0,NE,1,Aotizhongxin,208.75,Unhealthy,Weekend,Spring
152,153,2013,3,7,8,292,344,78,106,3700,17,8.3,1006.5,-1,0,NE,0,Aotizhongxin,189.75,Unhealthy,Weekend,Spring
153,154,2013,3,7,9,251,282,182,116,3299,17,10.1,1006.1,-0.7,0,W,0,Aotizhongxin,166.5,Unhealthy,Weekend,Spring
154,155,2013,3,7,10,228,255,166,135,3200,17,12.7,1005.5,-1.6,0,NE,1,Aotizhongxin,158.75,Unhealthy,Weekend,Spring
155,156,2013,3,7,11,217,255,169,171,4000,17,16.5,1003.6,-1.6,0,SW,1,Aotizhongxin,165,Unhealthy,Weekend,Spring
156,157,2013,3,7,12,255,311,154,201,4000,17,17.1,1001.6,-3.1,0,SW,3,Aotizhongxin,196,Unhealthy,Weekend,Spring
157,158,2013,3,7,13,258,283,111,226,3700,17,17.7,1000.2,-3.2,0,SW,3,Aotizhongxin,196,Unhealthy,Weekend,Spring
158,159,2013,3,7,14,277,284,102,167,2899,39,18.3,998.6,-3.2,0,SW,3,Aotizhongxin,191.75,Unhealthy,Weekend,Spring
159,160,2013,3,7,15,282,326,79,130,2399,61,18.6,997.6,-1.8,0,SW,3,Aotizhongxin,199.75,Unhealthy,Weekend,Spring
160,161,2013,3,7,16,267,310,62,97,1899,80,17.9,997.2,-0.9,0,SW,1,Aotizhongxin,188.5,Unhealthy,Weekend,Spring
161,162,2013,3,7,17,216,257,64,86,1600,84,15.4,997.1,-1.7,0,NW,1,Aotizhongxin,160.75,Unhealthy,Weekend,Spring
162,163,2013,3,7,18,201,255,76,125,1899,84,14.4,997.4,-2.5,0,N,1,Aotizhongxin,166.25,Unhealthy,Weekend,Spring
163,164,2013,3,7,19,211,287,79,173,2399,10,13.4,997.9,-2.6,0,NE,1,Aotizhongxin,170.25,Unhealthy,Weekend,Spring
164,165,2013,3,7,20,227,298,99,207,3399,84,11.8,997.7,-2.1,0,NE,1,Aotizhongxin,204,Unhealthy,Weekend,Spring
165,166,2013,3,7,21,282,377,114,213,4000,84,9.2,997.9,-1.3,0,NE,1,Aotizhongxin,239,Unhealthy,Weekend,Spring
166,167,2013,3,7,22,363,452,126,210,4000,84,7.5,998.3,-1.2,0,NE,1,Aotizhongxin,277.25,Unhealthy,Weekend,Spring
167,168,2013,3,7,23,376,426,128,209,3799,84,6.6,998.4,-0.9,0,E,0,Aotizhongxin,273.75,Unhealthy,Weekend,Spring
168,169,2013,3,8,0,344,389,107,195,3799,84,4.1,998.2,-1.3,0,SE,0,Aotizhongxin,253,Unhealthy,Weekday,Spring
169,170,2013,3,8,1,339,370,90,177,4099,84,3.3,998.5,-1.7,0,N,0,Aotizhongxin,242.5,Unhealthy,Weekday,Spring
170,171,2013,3,8,2,339,400,9,162,3899,84,2.5,998.2,-1.9,0,SW,0,Aotizhongxin,246.25,Unhealthy,Weekday,Spring
171,172,2013,3,8,3,324,373,71,154,900,84,1.8,997.9,-1.8,0,N,0,Aotizhongxin,233.75,Unhealthy,Weekday,Spring
172,173,2013,3,8,4,322,345,62,59,3299,84,1.3,998.5,-1.8,0,W,1,Aotizhongxin,202.5,Unhealthy,Weekday,Spring
173,174,2013,3,8,5,315,346,47,144,3200,84,1.4,999,-1.5,0,SW,0,Aotizhongxin,222.25,Unhealthy,Weekday,Spring
174,175,2013,3,8,6,310,327,45,146,3299,84,1.1,999.7,-1.8,0,SW,0,Aotizhongxin,216.75,Unhealthy,Weekday,Spring
175,176,2013,3,8,7,309,318,44,145,4099,84,5.7,1000.4,0.5,0,NE,1,Aotizhongxin,214,Unhealthy,Weekday,Spring
176,177,2013,3,8,8,310,337,88,137,4900,84,10.9,1000.8,1.4,0,SE,0,Aotizhongxin,217,Unhealthy,Weekday,Spring
177,178,2013,3,8,9,326,371,144,149,5200,84,16.9,1001.1,-0.4,0,E,1,Aotizhongxin,232.5,Unhealthy,Weekday,Spring
178,179,2013,3,8,10,326,844,125,179,900,84,19.1,1000.9,-0.4,0,SW,1,Aotizhongxin,358.25,Unhealthy,Weekday,Spring
179,180,2013,3,8,11,219,362,83,160,3100,84,20.5,1000.5,-3.3,0,SW,4,Aotizhongxin,206.25,Unhealthy,Weekday,Spring
180,181,2013,3,8,12,104,194,37,101,1399,84,21.7,999.4,-2.3,0,S,3,Aotizhongxin,120.75,Unhealthy,Weekday,Spring
181,182,2013,3,8,13,121,225,40,96,1300,84,22.5,998.2,-2.3,0,S,3,Aotizhongxin,131.5,Unhealthy,Weekday,Spring
182,183,2013,3,8,14,184,348,49,104,1800,84,17.4,998.3,1.4,0,SE,4,Aotizhongxin,180,Unhealthy,Weekday,Spring
183,184,2013,3,8,15,330,508,102,139,3600,84,13.9,999.5,1.2,0,SE,2,Aotizhongxin,265.25,Unhealthy,Weekday,Spring
184,185,2013,3,8,16,172,284,84,84,1700,84,11.9,1000.2,0,0,SE,2,Aotizhongxin,156,Unhealthy,Weekday,Spring
185,186,2013,3,8,17,114,181,68,68,1100,68,10.3,999.9,-0.5,0,SE,2,Aotizhongxin,107.75,Unhealthy,Weekday,Spring
186,187,2013,3,8,18,82,128,55,63,900,68,9.3,1000.6,-0.9,0,S,1,Aotizhongxin,85.25,Moderate,Weekday,Spring
187,188,2013,3,8,19,84,123,46,73,1100,68,8,1000.5,-0.3,0,NE,0,Aotizhongxin,87,Moderate,Weekday,Spring
188,189,2013,3,8,20,91,104,48,65,1000,68,7.9,1000.4,-1.6,0,SW,1,Aotizhongxin,82,Moderate,Weekday,Spring
